dataset,model_size,milestone,vocab_size,seed,task,split,accuracy,f1,mcc
babylm3,180m,1000M,16000,2,rte,test,0.5234657039711191,0.6047904191616766,0.0816507419704388
babylm3,180m,1000M,16000,2,rte,val,0.5742971887550201,0.6513157894736842,0.1680024544000235
babylm3,180m,1000M,16000,2,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,1000M,16000,2,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,100M,16000,0,boolq,test,0.6822629969418961,0.7666741522569055,0.2910763933339486
babylm3,180m,100M,16000,0,boolq,val,0.6861081654294804,0.7694704049844237,0.29875449923074393
babylm3,180m,100M,16000,0,mnli,test,0.713397860417728,0.7125022116183916,0.5698303725037184
babylm3,180m,100M,16000,0,mnli,val,0.7182144585062769,0.7180849154648322,0.5777727918287743
babylm3,180m,100M,16000,0,mrpc,test,0.6887254901960784,0.8140556368960469,0.09283582959438391
babylm3,180m,100M,16000,0,mrpc,val,0.6784741144414169,0.8071895424836601,0.06640957637772847
babylm3,180m,100M,16000,0,multirc,test,0.5985973597359736,0.4349593495934959,0.15099977991855712
babylm3,180m,100M,16000,0,multirc,val,0.6287253141831238,0.5127238454288408,0.2394896803884803
babylm3,180m,100M,16000,0,qqp,test,0.864580756863715,0.8162813328411799,0.7090535866574234
babylm3,180m,100M,16000,0,qqp,val,0.8644221519857084,0.8164738271513077,0.7089799962695644
babylm3,180m,100M,16000,0,rte,test,0.5415162454873647,0.5512367491166078,0.08886372821348971
babylm3,180m,100M,16000,0,rte,val,0.5662650602409639,0.568,0.13258919957915652
babylm3,180m,100M,16000,0,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,100M,16000,0,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,100M,16000,1,boolq,test,0.6688073394495413,0.752570253598355,0.2655159098694536
babylm3,180m,100M,16000,1,boolq,val,0.6871686108165429,0.7678992918961448,0.304263251445828
babylm3,180m,100M,16000,1,mnli,test,0.7107488537952115,0.7098720236026047,0.5657267492522527
babylm3,180m,100M,16000,1,mnli,val,0.7114410124519366,0.7110326418045717,0.5678155022929902
babylm3,180m,100M,16000,1,mrpc,test,0.6838235294117647,0.8122270742358079,0.0
babylm3,180m,100M,16000,1,mrpc,val,0.6784741144414169,0.8071895424836601,0.06640957637772847
babylm3,180m,100M,16000,1,multirc,test,0.6070544554455446,0.46049277824978757,0.17262391469765107
babylm3,180m,100M,16000,1,multirc,val,0.6294434470377019,0.5296262534184139,0.24142092929959796
babylm3,180m,100M,16000,1,qqp,test,0.865322780113777,0.8185060497983401,0.7115087550043927
babylm3,180m,100M,16000,1,qqp,val,0.8675553112546379,0.8225242146355836,0.7169962478099131
babylm3,180m,100M,16000,1,rte,test,0.5451263537906137,0.3,0.07251507926537466
babylm3,180m,100M,16000,1,rte,val,0.570281124497992,0.34355828220858897,0.189580405731986
babylm3,180m,100M,16000,1,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,100M,16000,1,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,100M,16000,2,boolq,test,0.6694189602446483,0.7477246207701284,0.27496643705557977
babylm3,180m,100M,16000,2,boolq,val,0.6882290562036055,0.7674050632911392,0.30842933500902125
babylm3,180m,100M,16000,2,mnli,test,0.7115639327559857,0.7110998913127108,0.5673678925627331
babylm3,180m,100M,16000,2,mnli,val,0.7072649028545237,0.7070132981861826,0.5615607915877344
babylm3,180m,100M,16000,2,mrpc,test,0.696078431372549,0.8176470588235294,0.15371290158103387
babylm3,180m,100M,16000,2,mrpc,val,0.6811989100817438,0.8078817733990148,0.0943067543786683
babylm3,180m,100M,16000,2,multirc,test,0.6041666666666666,0.46171107994389904,0.16739147759570655
babylm3,180m,100M,16000,2,multirc,val,0.6380610412926392,0.5324675324675324,0.25964092967530583
babylm3,180m,100M,16000,2,qqp,test,0.8673015087806084,0.8217548755772617,0.7161921713918165
babylm3,180m,100M,16000,2,qqp,val,0.867692730520819,0.822714885468071,0.7172950450927781
babylm3,180m,100M,16000,2,rte,test,0.5631768953068592,0.4372093023255814,0.11443125927525956
babylm3,180m,100M,16000,2,rte,val,0.570281124497992,0.5023255813953489,0.14482402083757848
babylm3,180m,100M,16000,2,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,100M,16000,2,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,1250M,16000,0,boolq,test,0.6840978593272171,0.7661308580484492,0.2977192627775519
babylm3,180m,1250M,16000,0,boolq,val,0.694591728525981,0.7767441860465116,0.31750771722830573
babylm3,180m,1250M,16000,0,mnli,test,0.7494651044319919,0.7484496372638613,0.6237502148332551
babylm3,180m,1250M,16000,0,mnli,val,0.7490769269944743,0.7485920189999699,0.6243276688185909
babylm3,180m,1250M,16000,0,mrpc,test,0.7401960784313726,0.8295819935691319,0.3377342295364637
babylm3,180m,1250M,16000,0,mrpc,val,0.7329700272479565,0.8191881918819188,0.3402050900572284
babylm3,180m,1250M,16000,0,multirc,test,0.6105610561056105,0.5166410650281618,0.19374428659020912
babylm3,180m,1250M,16000,0,multirc,val,0.6416517055655296,0.5611257695690414,0.2682256223624706
babylm3,180m,1250M,16000,0,qqp,test,0.8780113776898343,0.8363744940614425,0.7392976233883759
babylm3,180m,1250M,16000,0,qqp,val,0.8792634327332692,0.8387475681826524,0.7424554651546792
babylm3,180m,1250M,16000,0,rte,test,0.5126353790613718,0.5126353790613718,0.02828610268744118
babylm3,180m,1250M,16000,0,rte,val,0.5662650602409639,0.5970149253731343,0.1348242298871747
babylm3,180m,1250M,16000,0,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,1250M,16000,0,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,1250M,16000,1,boolq,test,0.6877675840978593,0.7750605860321657,0.2995214633831826
babylm3,180m,1250M,16000,1,boolq,val,0.7020148462354189,0.7866362946089598,0.331502980998388
babylm3,180m,1250M,16000,1,mnli,test,0.7467142129393785,0.7455751348973861,0.6195759827754848
babylm3,180m,1250M,16000,1,mnli,val,0.747981971429299,0.7474557986388927,0.6227254390397915
babylm3,180m,1250M,16000,1,mrpc,test,0.696078431372549,0.8176470588235294,0.15371290158103387
babylm3,180m,1250M,16000,1,mrpc,val,0.6893732970027248,0.8106312292358804,0.15067870648065312
babylm3,180m,1250M,16000,1,multirc,test,0.6237623762376238,0.5138592750533049,0.21579703076839415
babylm3,180m,1250M,16000,1,multirc,val,0.6509874326750449,0.5577797998180164,0.2872311880772806
babylm3,180m,1250M,16000,1,qqp,test,0.8784565916398713,0.83811029847796,0.7412241393455656
babylm3,180m,1250M,16000,1,qqp,val,0.8779167239246942,0.8381077337998396,0.7405857582025377
babylm3,180m,1250M,16000,1,rte,test,0.516245487364621,0.5144927536231884,0.03512256546149594
babylm3,180m,1250M,16000,1,rte,val,0.5863453815261044,0.596078431372549,0.17313795893596226
babylm3,180m,1250M,16000,1,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,1250M,16000,1,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,1250M,16000,2,boolq,test,0.6929663608562691,0.7889869693148381,0.3093627974718667
babylm3,180m,1250M,16000,2,boolq,val,0.7020148462354189,0.7976961843052556,0.33380053678237914
babylm3,180m,1250M,16000,2,mnli,test,0.7497707590422822,0.7483677469445698,0.6241864269871583
babylm3,180m,1250M,16000,2,mnli,val,0.7471161926103231,0.7462090856170086,0.6221611829381366
babylm3,180m,1250M,16000,2,mrpc,test,0.7769607843137255,0.847571189279732,0.451851917167004
babylm3,180m,1250M,16000,2,mrpc,val,0.7411444141689373,0.8204158790170132,0.3726190202242772
babylm3,180m,1250M,16000,2,multirc,test,0.6206683168316832,0.5136207352552234,0.210215471612949
babylm3,180m,1250M,16000,2,multirc,val,0.6570915619389587,0.573088958426464,0.30019215309036007
babylm3,180m,1250M,16000,2,qqp,test,0.8778629730398219,0.8361536930121442,0.7389626158235516
babylm3,180m,1250M,16000,2,qqp,val,0.8821492373230727,0.8428498130909624,0.7488253104223285
babylm3,180m,1250M,16000,2,rte,test,0.5703971119133574,0.5795053003533569,0.1469871112480509
babylm3,180m,1250M,16000,2,rte,val,0.5903614457831325,0.6015625,0.181295539899435
babylm3,180m,1250M,16000,2,wsc,test,0.5865384615384616,0.0851063829787234,-0.09150777062951235
babylm3,180m,1250M,16000,2,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,1500M,16000,0,boolq,test,0.6908256880733945,0.7788230146576242,0.3057351536429532
babylm3,180m,1500M,16000,0,boolq,val,0.7136797454931071,0.7966867469879518,0.3598792078095606
babylm3,180m,1500M,16000,0,mnli,test,0.7456953642384105,0.7449640804169877,0.6182627327144512
babylm3,180m,1500M,16000,0,mnli,val,0.748949606579919,0.7487698281199986,0.6238569630393549
babylm3,180m,1500M,16000,0,mrpc,test,0.7622549019607843,0.8438003220611916,0.4027024231164149
babylm3,180m,1500M,16000,0,mrpc,val,0.7384196185286104,0.8241758241758241,0.35199556186118675
babylm3,180m,1500M,16000,0,multirc,test,0.6186056105610561,0.500944669365722,0.2032653608298441
babylm3,180m,1500M,16000,0,multirc,val,0.6394973070017953,0.543221110100091,0.26282271589605744
babylm3,180m,1500M,16000,0,qqp,test,0.8781597823398466,0.8367360466657828,0.7397478746812212
babylm3,180m,1500M,16000,0,qqp,val,0.8794558197059228,0.8389039888342026,0.7427836147053132
babylm3,180m,1500M,16000,0,rte,test,0.47653429602888087,0.41767068273092367,-0.055640236761529335
babylm3,180m,1500M,16000,0,rte,val,0.5783132530120482,0.5454545454545454,0.1576282152394575
babylm3,180m,1500M,16000,0,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,1500M,16000,0,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,1500M,16000,1,boolq,test,0.6880733944954128,0.7781644193127447,0.29795122515280126
babylm3,180m,1500M,16000,1,boolq,val,0.7020148462354189,0.790454884414616,0.3299862026655631
babylm3,180m,1500M,16000,1,mnli,test,0.74793683138054,0.7470380577640287,0.6216043212263074
babylm3,180m,1500M,16000,1,mnli,val,0.74703980036159,0.7467663825862415,0.6208700005209076
babylm3,180m,1500M,16000,1,mrpc,test,0.7696078431372549,0.8459016393442623,0.42642051884187304
babylm3,180m,1500M,16000,1,mrpc,val,0.7220708446866485,0.8138686131386861,0.3055159967366549
babylm3,180m,1500M,16000,1,multirc,test,0.6245874587458746,0.5220588235294118,0.21942787263519492
babylm3,180m,1500M,16000,1,multirc,val,0.6560143626570916,0.5779735682819384,0.2981570543284664
babylm3,180m,1500M,16000,1,qqp,test,0.8754390304229532,0.8328687110049118,0.7337515156196777
babylm3,180m,1500M,16000,1,qqp,val,0.8785763364023637,0.8376928728875827,0.7408762916291433
babylm3,180m,1500M,16000,1,rte,test,0.5523465703971119,0.3541666666666667,0.08989180568262833
babylm3,180m,1500M,16000,1,rte,val,0.5622489959839357,0.36257309941520466,0.15588382942018011
babylm3,180m,1500M,16000,1,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,1500M,16000,1,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,1500M,16000,2,boolq,test,0.6859327217125383,0.7696793002915452,0.2993416572996798
babylm3,180m,1500M,16000,2,boolq,val,0.6988335100742312,0.7828746177370031,0.32476870132657115
babylm3,180m,1500M,16000,2,mnli,test,0.7496688741721854,0.7488930897230649,0.6243171544432121
babylm3,180m,1500M,16000,2,mnli,val,0.7469124799470347,0.7466268000907803,0.6210834788356181
babylm3,180m,1500M,16000,2,mrpc,test,0.7132352941176471,0.8191653786707882,0.23669344848523924
babylm3,180m,1500M,16000,2,mrpc,val,0.7057220708446866,0.8105263157894737,0.23796870717109256
babylm3,180m,1500M,16000,2,multirc,test,0.6103547854785478,0.5089680270340525,0.19093577484307708
babylm3,180m,1500M,16000,2,multirc,val,0.6531418312387792,0.5770577933450087,0.29233108400919616
babylm3,180m,1500M,16000,2,qqp,test,0.8787039327232253,0.837098060058464,0.7406135703026189
babylm3,180m,1500M,16000,2,qqp,val,0.8822042050295451,0.8423685178374403,0.748483276096516
babylm3,180m,1500M,16000,2,rte,test,0.5415162454873647,0.4147465437788018,0.06764585621182662
babylm3,180m,1500M,16000,2,rte,val,0.5622489959839357,0.4577114427860697,0.13302934758433116
babylm3,180m,1500M,16000,2,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,1500M,16000,2,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,1750M,16000,0,boolq,test,0.6892966360856269,0.7720951099147599,0.3073241725073762
babylm3,180m,1750M,16000,0,boolq,val,0.7030752916224814,0.7832817337461301,0.33726415585998515
babylm3,180m,1750M,16000,0,mnli,test,0.7417218543046358,0.7408316639249941,0.6122335938544444
babylm3,180m,1750M,16000,0,mnli,val,0.7471671207761452,0.7468891263869862,0.6211213102159077
babylm3,180m,1750M,16000,0,mrpc,test,0.6985294117647058,0.8188512518409425,0.16996241291959632
babylm3,180m,1750M,16000,0,mrpc,val,0.6948228882833788,0.8133333333333334,0.18040646792945672
babylm3,180m,1750M,16000,0,multirc,test,0.5963283828382838,0.5001277139208173,0.16447731515871764
babylm3,180m,1750M,16000,0,multirc,val,0.6402154398563734,0.5658578856152513,0.26591088695016124
babylm3,180m,1750M,16000,0,qqp,test,0.8755379668562948,0.8347129155170149,0.7354452664249084
babylm3,180m,1750M,16000,0,qqp,val,0.8791809811735606,0.8400058232639395,0.7434828101310238
babylm3,180m,1750M,16000,0,rte,test,0.5595667870036101,0.46956521739130436,0.10834156605933133
babylm3,180m,1750M,16000,0,rte,val,0.5863453815261044,0.5118483412322274,0.17983407853329642
babylm3,180m,1750M,16000,0,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,1750M,16000,0,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,1750M,16000,1,boolq,test,0.6871559633027523,0.7759036144578313,0.2969011717997826
babylm3,180m,1750M,16000,1,boolq,val,0.6829268292682927,0.7753568745304282,0.2822143522066929
babylm3,180m,1750M,16000,1,mnli,test,0.7474274070300561,0.7469247716859106,0.6211346366205688
babylm3,180m,1750M,16000,1,mnli,val,0.7439331822464414,0.7437772964185753,0.6161137532422514
babylm3,180m,1750M,16000,1,mrpc,test,0.7328431372549019,0.8216039279869067,0.3245383770465942
babylm3,180m,1750M,16000,1,mrpc,val,0.7220708446866485,0.8104089219330854,0.31498513181599125
babylm3,180m,1750M,16000,1,multirc,test,0.6155115511551155,0.534,0.20795868729879705
babylm3,180m,1750M,16000,1,multirc,val,0.6463195691202872,0.5838614279678919,0.28002248177809014
babylm3,180m,1750M,16000,1,qqp,test,0.8763789265396983,0.8343716861081655,0.735958685238048
babylm3,180m,1750M,16000,1,qqp,val,0.8774769822729147,0.8370971278228458,0.7392667414544255
babylm3,180m,1750M,16000,1,rte,test,0.51985559566787,0.5300353356890459,0.045271190937568845
babylm3,180m,1750M,16000,1,rte,val,0.5662650602409639,0.5909090909090909,0.13407430211692709
babylm3,180m,1750M,16000,1,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,1750M,16000,1,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,1750M,16000,2,boolq,test,0.6859327217125383,0.776690584909763,0.2925482583298812
babylm3,180m,1750M,16000,2,boolq,val,0.7020148462354189,0.790454884414616,0.3299862026655631
babylm3,180m,1750M,16000,2,mnli,test,0.7468160978094753,0.7457280410289049,0.6198897364036425
babylm3,180m,1750M,16000,2,mnli,val,0.7441114308268187,0.7436975941400639,0.6171444556234991
babylm3,180m,1750M,16000,2,mrpc,test,0.7230392156862745,0.8305847076461769,0.2850650243266318
babylm3,180m,1750M,16000,2,mrpc,val,0.6975476839237057,0.8121827411167513,0.1934992719082674
babylm3,180m,1750M,16000,2,multirc,test,0.606023102310231,0.5343734763529986,0.19305695386047206
babylm3,180m,1750M,16000,2,multirc,val,0.6499102333931778,0.5849297573435505,0.28691146062581185
babylm3,180m,1750M,16000,2,qqp,test,0.8783576552065298,0.8360338734413549,0.7394091418853259
babylm3,180m,1750M,16000,2,qqp,val,0.8796207228253401,0.8388165157871494,0.7428876672410064
babylm3,180m,1750M,16000,2,rte,test,0.4981949458483754,0.5351170568561873,0.008122011917365429
babylm3,180m,1750M,16000,2,rte,val,0.6024096385542169,0.623574144486692,0.20669529148486968
babylm3,180m,1750M,16000,2,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,1750M,16000,2,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,2000M,16000,0,boolq,test,0.6868501529051988,0.7645977011494253,0.3087445085280147
babylm3,180m,2000M,16000,0,boolq,val,0.7062566277836692,0.7803330689928628,0.35034493858475385
babylm3,180m,2000M,16000,0,mnli,test,0.7465104431991849,0.7457125036321283,0.6193986236181247
babylm3,180m,2000M,16000,0,mnli,val,0.744697104733773,0.7443518431850961,0.6175513087340836
babylm3,180m,2000M,16000,0,mrpc,test,0.7328431372549019,0.8299531981279251,0.3075847633792744
babylm3,180m,2000M,16000,0,mrpc,val,0.7275204359673024,0.8201438848920863,0.3148806511217858
babylm3,180m,2000M,16000,0,multirc,test,0.594059405940594,0.5052790346907994,0.16262897498790715
babylm3,180m,2000M,16000,0,multirc,val,0.6416517055655296,0.5753191489361702,0.26994328507410603
babylm3,180m,2000M,16000,0,qqp,test,0.8747712094978976,0.8333717294717788,0.7335159615835445
babylm3,180m,2000M,16000,0,qqp,val,0.8777793046585132,0.8377184979746743,0.740105910010851
babylm3,180m,2000M,16000,0,rte,test,0.5090252707581228,0.40350877192982454,0.0019152869472625887
babylm3,180m,2000M,16000,0,rte,val,0.5502008032128514,0.4766355140186916,0.10333631105860834
babylm3,180m,2000M,16000,0,wsc,test,0.5865384615384616,0.31746031746031744,0.040438514488800516
babylm3,180m,2000M,16000,0,wsc,val,0.5714285714285714,0.3333333333333333,0.12687830702589378
babylm3,180m,2000M,16000,1,boolq,test,0.692354740061162,0.7843053173241853,0.30736718255218703
babylm3,180m,2000M,16000,1,boolq,val,0.694591728525981,0.7863501483679525,0.31052929760324477
babylm3,180m,2000M,16000,1,mnli,test,0.74793683138054,0.7473405046065774,0.6218059716125514
babylm3,180m,2000M,16000,1,mnli,val,0.741361309872425,0.7412753664442641,0.6125572329007287
babylm3,180m,2000M,16000,1,mrpc,test,0.7524509803921569,0.8357723577235773,0.3765818538201168
babylm3,180m,2000M,16000,1,mrpc,val,0.7166212534059946,0.8088235294117647,0.29440698200432186
babylm3,180m,2000M,16000,1,multirc,test,0.601897689768977,0.5220406141654285,0.18158515234662534
babylm3,180m,2000M,16000,1,multirc,val,0.6574506283662478,0.5994962216624685,0.30326922839329484
babylm3,180m,2000M,16000,1,qqp,test,0.8757853079396488,0.8317249698431846,0.7332918869708508
babylm3,180m,2000M,16000,1,qqp,val,0.8770097567678988,0.8344493359476157,0.7366473768713933
babylm3,180m,2000M,16000,1,rte,test,0.5451263537906137,0.5594405594405595,0.09754074622879803
babylm3,180m,2000M,16000,1,rte,val,0.5622489959839357,0.5791505791505791,0.12528405755083397
babylm3,180m,2000M,16000,1,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,2000M,16000,1,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,2000M,16000,2,boolq,test,0.6902140672782875,0.7676072493691214,0.3157413186233447
babylm3,180m,2000M,16000,2,boolq,val,0.7158006362672322,0.7902973395931142,0.3692926545397081
babylm3,180m,2000M,16000,2,mnli,test,0.7489556800815079,0.7473499969160557,0.6229605345219428
babylm3,180m,2000M,16000,2,mnli,val,0.7446207124850398,0.7439647312452022,0.6177144752107867
babylm3,180m,2000M,16000,2,mrpc,test,0.7549019607843137,0.8360655737704918,0.386007145627591
babylm3,180m,2000M,16000,2,mrpc,val,0.7384196185286104,0.8222222222222222,0.35629599269717865
babylm3,180m,2000M,16000,2,multirc,test,0.5977722772277227,0.512012012012012,0.1711375267949019
babylm3,180m,2000M,16000,2,multirc,val,0.6459605026929982,0.5716768027801912,0.2777000665651786
babylm3,180m,2000M,16000,2,qqp,test,0.8790502102399208,0.83809019270247,0.7417853587764202
babylm3,180m,2000M,16000,2,qqp,val,0.8803353030094819,0.8404660706434119,0.7449846125079101
babylm3,180m,2000M,16000,2,rte,test,0.5306859205776173,0.5454545454545454,0.06840997889146429
babylm3,180m,2000M,16000,2,rte,val,0.5823293172690763,0.5873015873015873,0.16483801416670496
babylm3,180m,2000M,16000,2,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,2000M,16000,2,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,250M,16000,0,boolq,test,0.6782874617737003,0.7537453183520599,0.2958459940549576
babylm3,180m,250M,16000,0,boolq,val,0.6903499469777307,0.7667731629392971,0.3163422928187966
babylm3,180m,250M,16000,0,mnli,test,0.7364238410596027,0.735871294527254,0.6045480520973324
babylm3,180m,250M,16000,0,mnli,val,0.7401899620585165,0.7401040285764496,0.6105758858495859
babylm3,180m,250M,16000,0,mrpc,test,0.696078431372549,0.8165680473372781,0.14716611247432893
babylm3,180m,250M,16000,0,mrpc,val,0.6866485013623979,0.8080133555926544,0.13717590326055767
babylm3,180m,250M,16000,0,multirc,test,0.5926155115511551,0.5038934940969606,0.15978089463059789
babylm3,180m,250M,16000,0,multirc,val,0.6412926391382405,0.5662179765523231,0.2680347130361296
babylm3,180m,250M,16000,0,qqp,test,0.8767004699480584,0.8342587359111614,0.7362094748037062
babylm3,180m,250M,16000,0,qqp,val,0.8797856259447575,0.8385382059800665,0.7428534791296142
babylm3,180m,250M,16000,0,rte,test,0.5270758122743683,0.5201465201465202,0.055619422547550666
babylm3,180m,250M,16000,0,rte,val,0.570281124497992,0.5560165975103735,0.14057675553699506
babylm3,180m,250M,16000,0,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,250M,16000,0,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,250M,16000,1,boolq,test,0.6767584097859327,0.7548132683832057,0.28907204742542914
babylm3,180m,250M,16000,1,boolq,val,0.6988335100742312,0.7760252365930599,0.33184192196502815
babylm3,180m,250M,16000,1,mnli,test,0.7385634233316353,0.7378627680190318,0.6076802708697947
babylm3,180m,250M,16000,1,mnli,val,0.7350971454763057,0.7349280557803234,0.6030503073783643
babylm3,180m,250M,16000,1,mrpc,test,0.7107843137254902,0.8228228228228228,0.22329940800868536
babylm3,180m,250M,16000,1,mrpc,val,0.7029972752043597,0.8143100511073254,0.21754168748081087
babylm3,180m,250M,16000,1,multirc,test,0.6089108910891089,0.49114331723027377,0.18328772523275194
babylm3,180m,250M,16000,1,multirc,val,0.6488330341113105,0.5653333333333334,0.2829291770148998
babylm3,180m,250M,16000,1,qqp,test,0.876428394756369,0.8348102102896442,0.7363757388917916
babylm3,180m,250M,16000,1,qqp,val,0.8791260134670881,0.8388774912075029,0.7424245537885137
babylm3,180m,250M,16000,1,rte,test,0.5451263537906137,0.4878048780487805,0.08237812260878795
babylm3,180m,250M,16000,1,rte,val,0.5662650602409639,0.5135135135135135,0.13476454338293747
babylm3,180m,250M,16000,1,wsc,test,0.6346153846153846,0.0,0.0
babylm3,180m,250M,16000,1,wsc,val,0.5357142857142857,0.0,0.0
babylm3,180m,250M,16000,2,boolq,test,0.6691131498470948,0.7432368296155671,0.2810377720430908
babylm3,180m,250M,16000,2,boolq,val,0.6733828207847296,0.7504051863857374,0.2836303591626234
babylm3,180m,250M,16000,2,mnli,test,0.7403973509933774,0.739937500738414,0.6106963183940786
babylm3,180m,250M,16000,2,mnli,val,0.7358101397978152,0.7357553587337153,0.6040705749030708
babylm3,180m,250M,16000,2,mrpc,test,0.7058823529411765,0.8214285714285714,0.2032822906724814
babylm3,180m,250M,16000,2,mrpc,val,0.6866485013623979,0.8080133555926544,0.13717590326055767
babylm3,180m,250M,16000,2,multirc,test,0.5903465346534653,0.5195936139332366,0.1625408338637634
babylm3,180m,250M,16000,2,multirc,val,0.6394973070017953,0.5813177648040033,0.26705831255209106
babylm3,180m,250M,16000,2,qqp,test,0.8758595102646549,0.8345911742411759,0.7356311712140168
